회차,등위,상호명,당첨방식,소재지
1195,1등,금두꺼비 복권방,자동,부산 동래구 안남로 89-1 1층(안락동)
1195,1등,편의점사랑,자동,서울 강서구 곰달래로25길 57 1층
1195,1등,주몽동명,자동,경기 용인시 수지구 포은대로 319 중앙빌딩 104호
1195,1등,똥광 로또 복권방,자동,경기 안산시 단원구 화랑로 98 바동 102호
1195,1등,행복자리,자동,전북 군산시 칠성1길 33
1195,1등,명당,자동,경남 진주시 동부로 1356 1층 일부호
1195,1등,주택복권방,수동,경기 용인시 수지구 풍덕천로 144-1 103호
1195,1등,작은신부,수동,충남 서산시 구진로 6
1194,1등,로또행운마트,자동,경남 김해시 능동로 177 복권판매점
1194,1등,복권나라,수동,경북 포항시 북구 장량로140번길 9
1194,1등,부안복권방,수동,전북 부안군 번영로 135
1194,1등,로또로복권,수동,전북 전주시 완산구 모악로 4729
1194,1등,농산물직판장,수동,전북 군산시 백토로 128
1194,1등,버스표가판점,자동,경기 안양시 동안구 동안로 125-2 범계역4-1출구앞 버스표가판점
1194,1등,예스복권방,자동,충남 천안시 동남구 천안천공원6길 14-5 1층
1194,1등,행운복권방,수동,전북 부안군 번영로 109
1194,1등,153로또판매점,수동,충남 아산시 배방로 57-23
1194,1등,미나식품(로또판매점),수동,서울 강서구 금낭화로 91-12
1194,1등,로타리상회,수동,경북 구미시 산호대로 199 상가1층4호
1194,1등,1등복권방,반자동,인천 연수구 해돋이로 168 (송도동 21-13 혜인프라자 104호)
1194,1등,속초등대로또복권,자동,강원 속초시 영금정로 23
1194,1등,왕대박복권,수동,강원 속초시 번영로 142 1층 102호
1194,1등,복드림로또판매점,반자동,충북 충주시 첨단산업9로 13 1충
1194,1등,왕대박복권전문점,수동,강원 동해시 중앙로 234 이주민상가1층18호
1194,1등,황금마트,수동,경기 평택시 현신3길 5-9
1194,1등,행운슈퍼,수동,경기 화성시 병점3로 37 106호
1194,1등,범섬로또,수동,제주 서귀포시 월드컵로 169
1194,1등,황금열쇠복권방,수동,울산 북구 신기15길 2
1194,1등,로또복권판매 초전점,반자동,경남 진주시 대신로457번길 9 1층
1194,1등,지에스(GS)25 기장읍내로,수동,부산 기장군 읍내로94번길 2
1194,1등,희망복권판매점,수동,인천 서구 보듬5로 5 104호일부
1194,1등,로또성지,수동,부산 부산진구 백양관문로 104-1
1194,1등,씨유 송도점,수동,인천 연수구 인권로 9 1층 CU
1194,1등,알리바이,수동,광주 광산구 수등로 253 1층 알리바이
1194,1등,행복나눔로또,자동,경기 남양주시 마석로 37 101호
1194,1등,종로3가1호선역2번출구가로판매점82호,수동,서울 종로구 돈화문로 23 가판
1193,1등,보경복권,수동,울산 북구 명촌6길 7
1193,1등,희망복권,자동,인천 서구 가정로151번길 11 삼성홈플러스가좌점1층
1193,1등,오거리복권방,수동,서울 용산구 소월로20길 12
1193,1등,코리아슈퍼,자동,대구 달서구 달구벌대로 1130 1층 코리아마트내
1193,1등,행운복권,수동,서울 영등포구 도신로65길 2 1층(신길동)
1193,1등,지에스(GS)25 신길센트럴점,자동,서울 영등포구 도림로 308 1층
1193,1등,스파,자동,서울 노원구 동일로 1493 주공10단지종합상가111
1193,1등,미나식품(로또판매점),자동,서울 강서구 금낭화로 91-12
1193,1등,메트로센터점,수동,대구 중구 달구벌대로 지하 2100 메트로센터C412호
1193,1등,유성로또복권상회,자동,강원 원주시 평원로 45 1층
1193,1등,돈벼락 복권,자동,제주 제주시 흥운길 12
1193,1등,합천우리복권방,자동,경남 합천군 핫들2로 8 1층
1193,1등,고양월드식품복권,수동,경기 고양시 덕양구 혜음로 8 삼라마이다스프라자 제1층 제115호
1193,1등,소망복권판매점,수동,경기 김포시 청송로 26 102-1호
1193,1등,조은하루,수동,경기 용인시 처인구 낙은로 22
1193,1등,복권백화점,자동,경기 파주시 평화로 70
1192,1등,삼성마트,자동,서울 강남구 선릉로 636 102호(키스톤빌딩)
1192,1등,로또킹,자동,서울 영등포구 영중로 2 1층(영등포동3가)
1192,1등,돈벼락맞는곳,수동,부산 사상구 낙동대로 910 마트월드 A-160호
1192,1등,동탄호수복권,자동,경기 화성시 동탄순환대로 127-5 1층 101호
1192,1등,유니로또,자동,강원 원주시 행구로 45 1층
1192,1등,바른,자동,경기 하남시 신장로 68
1192,1등,율암25시편의점,반자동,경기 화성시 시청로 822
1192,1등,돈벼락맞는곳,수동,부산 사상구 낙동대로 910 마트월드 A-160호
1192,1등,돈벼락맞는곳,수동,부산 사상구 낙동대로 910 마트월드 A-160호
1192,1등,청솔서점,수동,부산 사하구 하신번영로 195
1192,1등,일등대박복권방,수동,충북 진천군 중앙동로 74-1 1층
1192,1등,로또명당(유가테크노점),자동,대구 달성군 테크노상업로 108 1동 1층 114호(테크노에이스)
1192,1등,미보라복권방,수동,울산 중구 염포로 15
1192,1등,로또25시,자동,울산 남구 수암로288번길 1 1층
1192,1등,광주공항로또,자동,광주 광산구 상무대로 411 1층
1192,1등,마두5번출구가판로또,자동,경기 고양시 일산동구 중앙로 1200
1192,1등,천하명당,자동,경기 파주시 방촌로 1719-68 좋은빌딩2 107호
1192,1등,일번가,반자동,경기 용인시 기흥구 서천서로20번길 4-6 102동
1192,1등,남문시장,자동,경기 수원시 팔달구 수원천로255번길 6 89호(영동 영동시장)
1192,1등,조선복권,자동,경남 창원시 의창구 남산로 111 1층 GS25편의점
1192,1등,대청행복복권,자동,경남 김해시 대청로 121 대청프라자 B동 104호
1192,1등,씨스페이스 경주세방매점,자동,경북 경주시 산업로 4447 (용강동)
1192,1등,또니로또연구소 한꼴토토,자동,전남 순천시 장선배기1길 6-53 1층
1192,1등,터미널복권,수동,충북 충주시 봉계1길 49 충주터미널1층
1192,1등,씨유 율량칸타빌 4차점,자동,충북 청주시 청원구 율중로 19 편의점
1192,1등,해수로또,자동,충북 청주시 상당구 산성로 22-1
1192,1등,베스트올수성점,자동,전북 정읍시 수성2로 28
1192,1등,명신사,수동,서울 마포구 월드컵로 97
1192,1등,장안평역 3번출구 가판대,자동,서울 동대문구 장한로 6-1 장한평역 3번출구 앞 가판대
1191,1등,운좋은날,수동,서울 강동구 풍성로 187 102호
1191,1등,운좋은날,수동,서울 강동구 풍성로 187 102호
1191,1등,운좋은날,수동,서울 강동구 풍성로 187 102호
1191,1등,북부슈퍼,자동,경기 의정부시 가능로125번길 22
1191,1등,GS25석문센트럴점,자동,충남 당진시 산단7로 94-9 106107호 GS편의점 내
1191,1등,씨유 방어행복점,반자동,울산 동구 꽃바위로 35
1191,1등,행운나눔,자동,부산 사하구 사하로 204
1191,1등,리버스 편의점,자동,경기 하남시 미사대로 520 현대지식산업센터 한강미사2차 D동 125호
1191,1등,운좋은날,수동,서울 강동구 풍성로 187 102호
1191,1등,운좋은날,수동,서울 강동구 풍성로 187 102호
1191,1등,반달커피대구침산점,자동,대구 북구 칠성남로 100 대구역한라하우젠트센텀상가102호
1191,1등,사당,자동,서울 관악구 과천대로 953
1191,1등,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr)
1191,1등,메트로센터점,자동,대구 중구 달구벌대로 지하 2100 메트로센터C412호
1191,1등,도로시,수동,서울 강동구 아리수로93길 19 108호
1191,1등,행복충전소,수동,경기 안양시 만안구 안양로 228 1층
1191,1등,행운로또 굴화점,수동,울산 울주군 굴화2길 26 1층
1191,1등,우정식품,자동,부산 동래구 온천장로 33 1층
1190,1등,흥양마중물,수동,강원 원주시 치악로 2335 1층
1190,1등,금은동복권방,수동,경기 용인시 기흥구 중부대로 679-6
1190,1등,로또판매선부점,자동,경기 안산시 단원구 선부광장로 27 122-2호
1190,1등,돈벼락맞는곳,자동,부산 동구 조방로49번길 18-1
1190,1등,희망복권방,자동,충북 청주시 흥덕구 월명로 150
1190,1등,부영상회,수동,충북 충주시 칠금중앙로 38 1층
1189,1등,태양 명당 복권방,자동,서울 금천구 독산로 211 세진상가103호
1189,1등,천하명당복권방,자동,경기 수원시 팔달구 매산로 2
1189,1등,우리로또복권,자동,경기 연천군 청신로 91
1189,1등,당첨쑥쑥복권,자동,경기 의왕시 고산로 88
1189,1등,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr)
1189,1등,중구-가로가판대-37,자동,서울 중구 남대문로 20-2
1189,1등,행복드림 복권,자동,인천 서구 청라라임로 85 판매시설 비동 131호 후면(청라동 청라린스트라우스)
1189,1등,동키호테편의점,자동,광주 서구 풍금로38번길 23
1189,1등,영화유통(1등복권방),자동,울산 남구 신정로 19 삼성아파트 상가 204-101
1189,1등,로또야놀자,수동,경북 경주시 양정로 211
1189,1등,세븐일레븐진해경화위브점,자동,경남 창원시 진해구 조천로 29 세븐일레븐
1189,1등,명당,자동,경남 진주시 동부로 1356 1층 일부호
1189,1등,목화휴게소,자동,경남 사천시 사천대로 912
1188,1등,다시 꿈꾸는 미래 동행복권,자동,부산 부산진구 백양대로208번길 38-9 상가동13호
1188,1등,일등복권편의점,자동,대구 달서구 대명천로 220 1층
1188,1등,로또(카페),수동,대구 달서구 대명천로 89 1층
1188,1등,천하명당복권방,수동,서울 송파구 백제고분로41길 7 1층
1188,1등,부일카서비스,자동,부산 동구 자성로133번길 35
1188,1등,와따복권방,수동,인천 서구 검단로 490 1층
1188,1등,하늘로또,수동,경기 여주시 세종로475번길 2 1층
1188,1등,와따복권방,수동,인천 서구 검단로 490 1층
1188,1등,행운복권방,수동,경기 고양시 덕양구 꽃마을로 66 1층105호
1188,1등,하늘로또,수동,경기 여주시 세종로475번길 2 1층
1188,1등,하늘로또,수동,경기 여주시 세종로475번길 2 1층
1188,1등,하늘로또,수동,경기 여주시 세종로475번길 2 1층
1188,1등,하늘로또,수동,경기 여주시 세종로475번길 2 1층
