회차,등위,상호명,당첨방식,소재지,cleaned_address
1198,1등,나눔로또CU목상점,수동,대전 대덕구 대덕대로1448번길 71 CU편의점,대전 대덕구 대덕대로 1448번길 71
1198,1등,윤,자동,인천 미추홀구 능해길 4 1층 1호(용현동),인천 미추홀구 능해길 4
1198,1등,명당골복권방,자동,경기 수원시 권선구 동수원로242번길 15 104호,경기 수원시 권선구 동수원로 242번길 15
1198,1등,행복한복권방,자동,전북 전주시 덕진구 혁신로 465,전북 전주시 덕진구 혁신로 465
1198,1등,종합가판제141호,자동,서울 중구 퇴계로 447 황학 아크로타워,서울 중구 퇴계로 447
1198,1등,현대복권방,자동,서울 동대문구 답십리로 9 1층,서울 동대문구 답십리로 9
1197,1등,로또 복권방,수동,경기 양주시 칠봉산로 195-7 102호(봉양동),경기 양주시 칠봉산로 195-7
1197,1등,정통복권방,자동,경기 수원시 팔달구 매산로116번길 32,경기 수원시 팔달구 매산로 116번길 32
1197,1등,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr),동행복권(dhlottery.co.kr)
1197,1등,오케이상사,자동,서울 서초구 신반포로 176 센트럴시티내100호매점,서울 서초구 신반포로 176
1197,1등,하영,자동,인천 서구 청라에메랄드로 65 아파트 상가 102호,인천 서구 청라에메랄드로 65
1197,1등,대전우표사,자동,대전 동구 중앙로204번길 16-1,대전 동구 중앙로 204번길 16-1
1197,1등,다람쥐로또,자동,서울 마포구 동교로 40 1층,서울 마포구 동교로 40
1197,1등,일등,자동,서울 강동구 양재대로 1500 101호,서울 강동구 양재대로 1500
1197,1등,로또복권방,수동,경기 의정부시 평화로 223,경기 의정부시 평화로 223
1197,1등,로토피아,자동,경기 광명시 오리로 371 상가1층102호,경기 광명시 오리로 371
1197,1등,그린마트,자동,경기 성남시 분당구 대왕판교로 255 107호,경기 성남시 분당구 대왕판교로 255
1197,1등,춘향로또,자동,전북 남원시 동림로 102-1,전북 남원시 동림로 102-1
1197,1등,대박찬스,자동,충북 청주시 흥덕구 가경로161번길 3,충북 청주시 흥덕구 가경로 161번길 3
1196,1등,달려라 복권방,자동,경기 남양주시 남가로 1821 104호,경기 남양주시 남가로 1821
1196,1등,뉴빅마트,자동,부산 기장군 정관중앙로 48 106호,부산 기장군 정관중앙로 48
1196,1등,행운복권방,자동,서울 금천구 가산디지털1로 168 A동 103호,서울 금천구 가산디지털1로 168
1196,1등,쿡쿡로또명당,자동,충북 옥천군 금장로 65 세븐일레븐편의점,충북 옥천군 금장로 65
1196,1등,하늘복권방,자동,부산 해운대구 해운대로 814 A동 137호(좌동 세종월드프라자),부산 해운대구 해운대로 814
1196,1등,대박드림,자동,경북 포항시 북구 천마로72번길 7 1층111동107호(양덕동),경북 포항시 북구 천마로 72번길 7
1196,1등,대박의터,자동,강원 춘천시 영서로 1786,강원 춘천시 영서로 1786
1196,1등,성심상회,자동,경북 포항시 북구 불종로 78,경북 포항시 북구 불종로 78
1196,1등,복권마을,자동,서울 구로구 구로동로 72,서울 구로구 구로동로 72
1196,1등,드림로또,자동,경남 창원시 진해구 신항4로 49 105호 세븐일레븐,경남 창원시 진해구 신항4로 49
1196,1등,복권세상,자동,전남 목포시 청호로 139 1층 복권세상,전남 목포시 청호로 139
1196,1등,훼미리마트 우아대로점,자동,전북 전주시 덕진구 건산로 276,전북 전주시 덕진구 건산로 276
1196,1등,행운복권방,자동,전북 고창군 중앙로 200,전북 고창군 중앙로 200
1196,1등,복덩이 로또,자동,인천 연수구 함박뫼로12번길 1 102호,인천 연수구 함박뫼로 12번길 1
1196,1등,100억로또점,자동,경기 김포시 김포대로 1610 나동 6호,경기 김포시 김포대로 1610
1195,1등,대동복권방,자동,경남 김해시 월산로 112-57 이마트편의점 좌측 복권판매점,경남 김해시 월산로 112-57
1195,1등,제우스테크,자동,대전 서구 원도안로 30,대전 서구 원도안로 30
1195,1등,금두꺼비 복권방,자동,부산 동래구 안남로 89-1 1층(안락동),부산 동래구 안남로 89-1
1195,1등,편의점사랑,자동,서울 강서구 곰달래로25길 57 1층,서울 강서구 곰달래로 25길 57
1195,1등,주몽동명,자동,경기 용인시 수지구 포은대로 319 중앙빌딩 104호,경기 용인시 수지구 포은대로 319
1195,1등,똥광 로또 복권방,자동,경기 안산시 단원구 화랑로 98 바동 102호,경기 안산시 단원구 화랑로 98
1195,1등,행복자리,자동,전북 군산시 칠성1길 33,전북 군산시 칠성1길 33
1195,1등,명당,자동,경남 진주시 동부로 1356 1층 일부호,경남 진주시 동부로 1356
1195,1등,주택복권방,수동,경기 용인시 수지구 풍덕천로 144-1 103호,경기 용인시 수지구 풍덕천로 144-1
1195,1등,작은신부,수동,충남 서산시 구진로 6,충남 서산시 구진로 6
1194,1등,로또행운마트,자동,경남 김해시 능동로 177 복권판매점,경남 김해시 능동로 177
1194,1등,복권나라,수동,경북 포항시 북구 장량로140번길 9,경북 포항시 북구 장량로 140번길 9
1194,1등,부안복권방,수동,전북 부안군 번영로 135,전북 부안군 번영로 135
1194,1등,로또로복권,수동,전북 전주시 완산구 모악로 4729,전북 전주시 완산구 모악로 4729
1194,1등,농산물직판장,수동,전북 군산시 백토로 128,전북 군산시 백토로 128
1194,1등,버스표가판점,자동,경기 안양시 동안구 동안로 125-2 범계역4-1출구앞 버스표가판점,경기 안양시 동안구 동안로 125-2
